Date,Q,FMES
01.07.2015,"2,22","5,16"
02.07.2015,"1,95","4,38"
03.07.2015,"1,92","4,29"
04.07.2015,"1,77","3,87"
05.07.2015,"1,77","3,87"
06.07.2015,"1,80","3,96"
07.07.2015,"1,92","4,29"
08.07.2015,"2,06","4,69"
09.07.2015,"2,15","4,95"
10.07.2015,"1,93","4,32"
11.07.2015,"1,65","3,55"
12.07.2015,"1,59","3,38"
13.07.2015,"1,54","3,25"
14.07.2015,"1,36","2,78"
15.07.2015,"1,41","2,91"
16.07.2015,"1,39","2,86"
17.07.2015,"1,43","2,96"
18.07.2015,"1,37","2,81"
19.07.2015,"1,36","2,78"
20.07.2015,"1,28","2,58"
21.07.2015,"1,34","2,73"
22.07.2015,"1,32","2,68"
23.07.2015,"1,34","2,73"
24.07.2015,"1,27","2,55"
25.07.2015,"1,28","2,58"
26.07.2015,"1,36","2,78"
27.07.2015,"1,48","3,09"
28.07.2015,"1,51","3,17"
29.07.2015,"1,53","3,22"
30.07.2015,"1,75","3,82"
31.07.2015,"2,45","5,84"
01.08.2015,"3,42","8,89"
02.08.2015,"2,09","4,78"
03.08.2015,"2,10","4,81"
04.08.2015,"1,95","4,38"
05.08.2015,"1,91","4,27"
06.08.2015,"1,75","3,82"
07.08.2015,"1,83","4,04"
08.08.2015,"2,04","4,63"
09.08.2015,"3,42","8,89"
10.08.2015,"2,04","4,63"
11.08.2015,"1,93","4,32"
12.08.2015,"1,92","4,29"
13.08.2015,"2,27","5,30"
14.08.2015,"2,21","5,13"
15.08.2015,"1,81","3,99"
16.08.2015,"1,73","3,76"
17.08.2015,"1,72","3,74"
18.08.2015,"1,77","3,87"
19.08.2015,"1,81","3,99"
20.08.2015,"1,62","3,47"
21.08.2015,"1,59","3,38"
22.08.2015,"1,58","3,36"
23.08.2015,"1,64","3,52"
24.08.2015,"1,74","3,79"
25.08.2015,"1,85","4,10"
26.08.2015,"1,87","4,15"
27.08.2015,"1,85","4,10"
28.08.2015,"1,79","3,93"
29.08.2015,"1,70","3,68"
30.08.2015,"1,68","3,63"
31.08.2015,"2,06","4,69"
01.09.2015,"3,31","8,53"
02.09.2015,"2,13","4,89"
03.09.2015,"2,05","4,66"
04.09.2015,"2,68","6,54"
05.09.2015,"2,18","5,04"
06.09.2015,"1,83","4,04"
07.09.2015,"1,79","3,93"
08.09.2015,"1,86","4,12"
09.09.2015,"1,99","4,49"
10.09.2015,"2,83","7,00"
11.09.2015,"3,96","10,69"
12.09.2015,"3,68","9,75"
13.09.2015,"3,65","9,65"
14.09.2015,"3,74","9,95"
15.09.2015,"3,94","10,62"
16.09.2015,"3,73","9,92"
17.09.2015,"3,11","7,88"
18.09.2015,"2,91","7,25"
19.09.2015,"2,57","6,20"
20.09.2015,"2,49","5,96"
21.09.2015,"2,46","5,87"
22.09.2015,"2,37","5,60"
23.09.2015,"3,19","8,14"
24.09.2015,"3,25","8,33"
25.09.2015,"3,21","8,21"
26.09.2015,"3,37","8,72"
27.09.2015,"3,28","8,43"
28.09.2015,"3,48","9,08"
29.09.2015,"4,29","11,83"
30.09.2015,"11,40","51,58"
01.10.2015,"17,10","106,76"
02.10.2015,"5,31","15,47"
03.10.2015,"4,27","11,76"
04.10.2015,"4,25","11,69"
05.10.2015,"4,23","11,62"
06.10.2015,"4,23","11,62"
07.10.2015,"5,25","15,25"
08.10.2015,"4,58","12,84"
09.10.2015,"4,29","11,83"
10.10.2015,"3,70","9,81"
11.10.2015,"3,09","7,82"
12.10.2015,"3,21","8,21"
13.10.2015,"3,92","10,56"
14.10.2015,"3,57","9,38"
15.10.2015,"3,78","10,08"
16.10.2015,"2,79","6,88"
17.10.2015,"2,29","5,36"
18.10.2015,"2,85","7,06"
19.10.2015,"2,86","7,09"
20.10.2015,"2,74","6,72"
21.10.2015,"2,63","6,38"
22.10.2015,"2,51","6,02"
23.10.2015,"2,30","5,39"
24.10.2015,"2,15","4,95"
25.10.2015,"2,10","4,81"
26.10.2015,"1,79","3,93"
27.10.2015,"1,86","4,12"
28.10.2015,"1,82","4,01"
29.10.2015,"1,82","4,01"
30.10.2015,"1,92","4,29"
31.10.2015,"2,03","4,61"
01.11.2015,"2,19","5,07"
02.11.2015,"3,81","10,18"
03.11.2015,"82,70","1804,76"
04.11.2015,"32,80","343,47"
05.11.2015,"23,30","185,97"
06.11.2015,"14,80","82,39"
07.11.2015,"11,30","50,77"
08.11.2015,"11,00","48,38"
09.11.2015,"5,83","17,41"
10.11.2015,"7,01","21,56"
11.11.2015,"6,13","18,55"
12.11.2015,"6,01","18,09"
13.11.2015,"5,19","15,04"
14.11.2015,"4,87","13,88"
15.11.2015,"4,80","13,63"
16.11.2015,"3,98","10,76"
17.11.2015,"3,70","9,81"
18.11.2015,"3,85","10,32"
19.11.2015,"4,09","11,14"
20.11.2015,"3,65","9,65"
21.11.2015,"3,82","10,22"
22.11.2015,"4,23","11,62"
23.11.2015,"4,34","12,00"
24.11.2015,"4,30","11,86"
25.11.2015,"3,99","10,79"
26.11.2015,"7,11","22,11"
27.11.2015,"12,00","56,55"
28.11.2015,"7,14","22,28"
29.11.2015,"5,83","17,41"
30.11.2015,"5,32","15,51"
01.12.2015,"4,67","13,16"
02.12.2015,"3,99","10,79"
03.12.2015,"4,31","11,90"
04.12.2015,"4,28","11,79"
05.12.2015,"4,31","11,90"
06.12.2015,"4,32","11,93"
07.12.2015,"3,65","9,65"
08.12.2015,"3,47","9,05"
09.12.2015,"3,95","10,66"
10.12.2015,"4,35","12,04"
11.12.2015,"3,75","9,98"
12.12.2015,"3,75","9,98"
13.12.2015,"3,84","10,29"
14.12.2015,"3,56","9,35"
15.12.2015,"3,63","9,58"
16.12.2015,"3,69","9,78"
17.12.2015,"4,26","11,72"
18.12.2015,"4,27","11,76"
19.12.2015,"4,30","11,86"
20.12.2015,"4,10","11,17"
21.12.2015,"3,62","9,55"
22.12.2015,"3,39","8,79"
23.12.2015,"3,67","9,71"
24.12.2015,"3,79","10,12"
25.12.2015,"4,28","11,79"
26.12.2015,"4,01","10,86"
27.12.2015,"4,07","11,07"
28.12.2015,"3,76","10,02"
29.12.2015,"3,60","9,48"
30.12.2015,"3,92","10,56"
31.12.2015,"3,98","10,76"
01.01.2016,"3,60","9,48"
02.01.2016,"3,61","9,51"
03.01.2016,"3,76","10,02"
04.01.2016,"3,85","10,32"
05.01.2016,"4,40","12,21"
06.01.2016,"4,59","12,88"
07.01.2016,"4,62","12,98"
08.01.2016,"5,15","14,89"
09.01.2016,"5,84","17,45"
10.01.2016,"5,78","17,22"
11.01.2016,"5,13","14,82"
12.01.2016,"4,54","12,70"
13.01.2016,"4,57","12,81"
14.01.2016,"4,52","12,63"
15.01.2016,"4,43","12,32"
16.01.2016,"4,45","12,39"
17.01.2016,"4,45","12,39"
18.01.2016,"4,69","13,23"
19.01.2016,"4,75","13,45"
20.01.2016,"4,69","13,23"
21.01.2016,"4,70","13,27"
22.01.2016,"4,31","11,90"
23.01.2016,"3,13","7,95"
24.01.2016,"3,05","7,69"
25.01.2016,"3,96","10,69"
26.01.2016,"3,53","9,25"
27.01.2016,"3,47","9,05"
28.01.2016,"3,73","9,92"
29.01.2016,"4,69","13,23"
30.01.2016,"4,38","12,14"
31.01.2016,"3,74","9,95"
01.02.2016,"3,23","8,27"
02.02.2016,"2,85","7,06"
03.02.2016,"3,16","8,04"
04.02.2016,"2,81","6,94"
05.02.2016,"2,86","7,09"
06.02.2016,"2,37","5,60"
07.02.2016,"2,26","5,27"
08.02.2016,"2,76","6,78"
09.02.2016,"2,04","4,63"
10.02.2016,"1,82","4,01"
11.02.2016,"2,11","4,84"
12.02.2016,"1,94","4,35"
13.02.2016,"1,94","4,35"
14.02.2016,"2,17","5,01"
15.02.2016,"3,28","8,43"
16.02.2016,"3,61","9,51"
17.02.2016,"3,78","10,08"
18.02.2016,"3,74","9,95"
19.02.2016,"3,23","8,27"
20.02.2016,"2,36","5,57"
21.02.2016,"2,23","5,18"
22.02.2016,"1,96","4,41"
23.02.2016,"1,76","3,85"
24.02.2016,"1,62","3,47"
25.02.2016,"1,63","3,49"
26.02.2016,"2,27","5,30"
27.02.2016,"4,16","11,38"
28.02.2016,"9,06","34,16"
29.02.2016,"8,90","33,08"
01.03.2016,"7,96","27,08"
