Date;MES
02/10/15;23,6
08/10/15;7,6
15/10/15;3,7
21/10/15;3,1
28/10/15;3,4
04/11/15;29
18/11/15;4,3
25/11/15;3,9
02/12/15;3
10/12/15;2
17/12/15;5,53
22/12/15;3,18
29/12/15;3,73
07/01/16;5,44
13/01/16;3,82
21/01/16;4,98
28/01/16;6,61
04/02/16;2,82
10/02/16;3,15
17/02/16;4,56
25/02/16;4,96
03/03/16;6,69
17/03/16;5,79
24/03/16;3,85
31/03/16;6,18
07/04/16;8,71
14/04/16;6,29
21/04/16;7,83
28/04/16;4,96
06/05/16;5,7
12/05/16;22,5
19/05/16;14,37
26/05/16;8,11
02/06/16;6,29
09/06/16;11,29
16/06/16;6,5
23/06/16;5,4
30/06/16;10,11
07/07/16;9,59
13/07/16;4,94
21/07/16;13,46
28/07/16;7,87
04/08/16;7,73
11/08/16;5,13
18/08/16;4,86
25/08/16;5,45
01/09/16;7,46
08/09/16;8,28
14/09/16;25,35
22/09/16;7,08
29/09/16;7,26
06/10/16;7,72
13/10/16;7,26
20/10/16;7,39
27/10/16;5,27
04/11/16;4,1
10/11/16;3,83
17/11/16;2,47
24/11/16;70,25
01/12/16;4,095
08/12/16;3,415
15/12/16;4,2451612903
22/12/16;2,256
29/12/16;1,6233333333
06/01/17;1,49
12/01/17;3,44
20/01/17;3,03
26/01/17;3,52
02/02/17;7,36
09/02/17;7,3066666667
14/02/17;514,78
23/02/17;4,5166666667
