"Date (TU)","Valeur (en m³/s)","Statut","Qualification","Méthode","Continuité"
2015-12-18T00:00:00.000Z,"4.27","16",20,10,0
2015-12-19T00:00:00.000Z,"4.29","16",20,10,0
2015-12-20T00:00:00.000Z,"4.10","16",20,10,0
2015-12-21T00:00:00.000Z,"3.61","16",20,10,0
2015-12-22T00:00:00.000Z,"3.38","16",20,10,0
2015-12-23T00:00:00.000Z,"3.66","16",20,10,0
2015-12-24T00:00:00.000Z,"3.78","16",20,10,0
2015-12-25T00:00:00.000Z,"4.27","16",20,10,0
2015-12-26T00:00:00.000Z,"4.00","16",20,10,0
2015-12-27T00:00:00.000Z,"4.07","16",20,10,0
2015-12-28T00:00:00.000Z,"3.75","16",20,10,0
2015-12-29T00:00:00.000Z,"3.59","16",20,10,0
2015-12-30T00:00:00.000Z,"3.92","16",20,10,0
2015-12-31T00:00:00.000Z,"3.98","16",20,10,0
2016-01-01T00:00:00.000Z,"3.59","16",20,10,0
2016-01-02T00:00:00.000Z,"3.60","16",20,10,0
2016-01-03T00:00:00.000Z,"3.75","16",20,10,0
2016-01-04T00:00:00.000Z,"3.85","16",20,10,0
2016-01-05T00:00:00.000Z,"4.40","16",20,10,0
2016-01-06T00:00:00.000Z,"4.58","16",20,10,0
2016-01-07T00:00:00.000Z,"4.60","16",20,10,0
2016-01-08T00:00:00.000Z,"5.14","16",20,10,0
2016-01-09T00:00:00.000Z,"5.84","16",20,10,0
2016-01-10T00:00:00.000Z,"5.77","16",20,10,0
2016-01-11T00:00:00.000Z,"5.11","16",20,10,0
2016-01-12T00:00:00.000Z,"4.53","16",20,10,0
2016-01-13T00:00:00.000Z,"4.56","16",20,10,0
2016-01-14T00:00:00.000Z,"4.51","16",20,10,0
2016-01-15T00:00:00.000Z,"4.42","16",20,10,0
2016-01-16T00:00:00.000Z,"4.44","16",20,10,0
2016-01-17T00:00:00.000Z,"4.44","16",20,10,0
2016-01-18T00:00:00.000Z,"4.68","16",20,10,0
2016-01-19T00:00:00.000Z,"4.73","16",20,10,0
2016-01-20T00:00:00.000Z,"4.68","16",20,10,0
2016-01-21T00:00:00.000Z,"4.68","16",20,10,0
2016-01-22T00:00:00.000Z,"4.31","16",20,10,0
2016-01-23T00:00:00.000Z,"3.13","16",20,10,0
2016-01-24T00:00:00.000Z,"3.05","16",20,10,0
2016-01-25T00:00:00.000Z,"3.95","16",20,10,0
2016-01-26T00:00:00.000Z,"3.52","16",20,10,0
2016-01-27T00:00:00.000Z,"3.46","16",20,10,0
